scenario,date,scenario_value
Baseline,2025-08-04,200.7079574985315
Baseline,2025-08-05,200.4796047686855
Baseline,2025-08-06,200.73703424440498
Baseline,2025-08-07,200.6808724338611
Baseline,2025-08-08,201.18996991741568
Baseline,2025-08-11,200.62971567609685
Baseline,2025-08-12,202.13368007823522
Baseline,2025-08-13,203.16712075695636
Baseline,2025-08-14,202.52810107008702
Baseline,2025-08-15,201.8060721939194
Baseline,2025-08-18,201.69772247026327
Baseline,2025-08-19,201.30213664217433
Baseline,2025-08-20,201.34574680556656
Baseline,2025-08-21,200.89832363292425
Baseline,2025-08-22,203.57641290778236
Baseline,2025-08-25,202.94920106149107
Baseline,2025-08-26,203.61667326625047
Baseline,2025-08-27,204.1805468009489
Baseline,2025-08-28,204.7978779712536
Baseline,2025-08-29,204.2183165002351
Baseline,2025-09-02,203.35026916420725
Baseline,2025-09-03,204.1146599094048
Baseline,2025-09-04,205.37904886817907
Baseline,2025-09-05,205.90713337912447
Baseline,2025-09-08,206.6543545174804
Baseline,2025-09-09,206.5912529873289
Baseline,2025-09-10,207.1549217907863
Baseline,2025-09-11,208.68880041577776
Baseline,2025-09-12,208.28336381614093
Baseline,2025-09-15,208.99950287895464
Baseline,2025-09-16,208.5984866605733
Baseline,2025-09-17,208.49780064688522
Baseline,2025-09-18,209.4594582295712
Baseline,2025-09-19,209.84513257925008
Baseline,2025-09-22,210.53170900147924
Baseline,2025-09-23,210.34611361323806
Baseline,2025-09-24,209.24642730511968
Baseline,2025-09-25,208.89178321562883
Baseline,2025-09-26,209.7135804718333
Baseline,2025-09-29,210.651670335705
Baseline,2025-09-30,211.00486593499417
Baseline,2025-10-01,211.28836896869086
Baseline,2025-10-02,211.56117410059676
Baseline,2025-10-03,211.79771582927006
Baseline,2025-10-06,212.39382813033876
Baseline,2025-10-07,212.19150854407
Baseline,2025-10-08,213.35957880648505
Baseline,2025-10-09,212.62592165387244
Baseline,2025-10-10,209.6613400296512
Baseline,2025-10-13,212.4404087035567
Baseline,2025-10-14,212.96938532163304
Baseline,2025-10-15,214.1801541832563
Baseline,2025-10-16,213.52527383410398
Baseline,2025-10-17,213.54636450533664
Baseline,2025-10-20,216.09934557565578
Baseline,2025-10-21,214.75725398793827
Baseline,2025-10-22,213.87827664061882
Baseline,2025-10-23,214.63312938017367
Baseline,2025-10-24,215.8862573325706
Baseline,2025-10-27,216.5983889325079
Baseline,2025-10-28,216.2634428135783
Baseline,2025-10-29,215.1023633316721
Baseline,2025-10-30,214.6095861893475
Baseline,2025-10-31,214.92757242661597
Baseline,2025-11-03,214.8132694960055
Baseline,2025-11-04,213.09862101695902
Baseline,2025-11-05,213.7145739263045
Baseline,2025-11-06,212.26165635295806
Baseline,2025-11-07,212.81165464422122
Baseline,2025-11-10,215.00130144097608
Baseline,2025-11-11,215.38513506473666
Baseline,2025-11-12,215.81711934795408
Baseline,2025-11-13,212.85587737088153
Baseline,2025-11-14,212.36813972013988
Baseline,2025-11-17,210.54034680822406
Baseline,2025-11-18,210.0849660816191
Baseline,2025-11-19,210.4574852481728
Baseline,2025-11-20,208.45832848491887
Baseline,2025-11-21,210.14513434045034
Baseline,2025-11-24,212.50705924685928
Baseline,2025-11-25,213.86306572144727
Baseline,2025-11-26,215.12637347803468
Baseline,2025-11-28,216.06712643794452
Baseline,2025-12-01,214.7793021100445
Baseline,2025-12-02,214.9541773438894
Baseline,2025-12-03,215.84542142108253
Baseline,2025-12-04,215.97957274608328
Baseline,2025-12-05,205.07650291161568
Baseline,2025-12-08,204.75908441762277
Baseline,2025-12-09,204.8340817999013
Baseline,2025-12-10,205.86238031038081
Baseline,2025-12-11,206.56684586957746
Baseline,2025-12-12,204.93096974862635
Baseline,2025-12-15,204.55808420155344
Baseline,2025-12-16,204.28457830140184
Baseline,2025-12-17,203.28033428080246
Baseline,2025-12-18,204.150223643599
Baseline,2025-12-19,205.00887378110306
Baseline,2025-12-22,205.26210125192216
Baseline,2025-12-23,205.6972263787617
Baseline,2025-12-24,206.2778256077289
Baseline,2025-12-26,206.38033591953837
COVID Crash (2020-02-19 to 2020-03-23),2020-02-19,100.3277523910047
COVID Crash (2020-02-19 to 2020-03-23),2020-02-20,100.39407666600148
COVID Crash (2020-02-19 to 2020-03-23),2020-02-21,99.92861614831408
COVID Crash (2020-02-19 to 2020-03-23),2020-02-24,98.35477812837493
COVID Crash (2020-02-19 to 2020-03-23),2020-02-25,96.40219705364802
COVID Crash (2020-02-19 to 2020-03-23),2020-02-26,96.16420314893594
COVID Crash (2020-02-19 to 2020-03-23),2020-02-27,93.56857068624814
COVID Crash (2020-02-19 to 2020-03-23),2020-02-28,92.90000102883683
COVID Crash (2020-02-19 to 2020-03-23),2020-03-02,95.4186147687619
COVID Crash (2020-02-19 to 2020-03-23),2020-03-03,94.4194274219235
COVID Crash (2020-02-19 to 2020-03-23),2020-03-04,96.48072102418236
COVID Crash (2020-02-19 to 2020-03-23),2020-03-05,95.04552617652344
COVID Crash (2020-02-19 to 2020-03-23),2020-03-06,94.39344253451169
COVID Crash (2020-02-19 to 2020-03-23),2020-03-09,89.88122045281976
COVID Crash (2020-02-19 to 2020-03-23),2020-03-10,91.93821403308824
COVID Crash (2020-02-19 to 2020-03-23),2020-03-11,88.56992640165511
COVID Crash (2020-02-19 to 2020-03-23),2020-03-12,83.01373800249205
COVID Crash (2020-02-19 to 2020-03-23),2020-03-13,87.59184975293158
COVID Crash (2020-02-19 to 2020-03-23),2020-03-16,80.87843631757718
COVID Crash (2020-02-19 to 2020-03-23),2020-03-17,83.26531142121577
COVID Crash (2020-02-19 to 2020-03-23),2020-03-18,79.5063911586065
COVID Crash (2020-02-19 to 2020-03-23),2020-03-19,80.3952410429985
COVID Crash (2020-02-19 to 2020-03-23),2020-03-20,79.39153061173498
COVID Crash (2020-02-19 to 2020-03-23),2020-03-23,78.9369705186024
Worst 30 Trading Days (ending 2020-03-23),2020-02-10,100.61813975995544
Worst 30 Trading Days (ending 2020-03-23),2020-02-11,100.66510754393299
Worst 30 Trading Days (ending 2020-03-23),2020-02-12,101.01506702360115
Worst 30 Trading Days (ending 2020-03-23),2020-02-13,101.16466559469693
Worst 30 Trading Days (ending 2020-03-23),2020-02-14,101.44098249913087
Worst 30 Trading Days (ending 2020-03-23),2020-02-18,101.51305702772491
Worst 30 Trading Days (ending 2020-03-23),2020-02-19,101.84576849931524
Worst 30 Trading Days (ending 2020-03-23),2020-02-20,101.91309629841597
Worst 30 Trading Days (ending 2020-03-23),2020-02-21,101.44059309765441
Worst 30 Trading Days (ending 2020-03-23),2020-02-24,99.84294201094957
Worst 30 Trading Days (ending 2020-03-23),2020-02-25,97.86081727104947
Worst 30 Trading Days (ending 2020-03-23),2020-02-26,97.6192223828366
Worst 30 Trading Days (ending 2020-03-23),2020-02-27,94.98431652075817
Worst 30 Trading Days (ending 2020-03-23),2020-02-28,94.30563102316017
Worst 30 Trading Days (ending 2020-03-23),2020-03-02,96.86235282527844
Worst 30 Trading Days (ending 2020-03-23),2020-03-03,95.84804720406854
Worst 30 Trading Days (ending 2020-03-23),2020-03-04,97.94052935403843
Worst 30 Trading Days (ending 2020-03-23),2020-03-05,96.48361918987545
Worst 30 Trading Days (ending 2020-03-23),2020-03-06,95.82166915049162
Worst 30 Trading Days (ending 2020-03-23),2020-03-09,91.2411745754861
Worst 30 Trading Days (ending 2020-03-23),2020-03-10,93.32929164168067
Worst 30 Trading Days (ending 2020-03-23),2020-03-11,89.91003989752615
Worst 30 Trading Days (ending 2020-03-23),2020-03-12,84.26978319931591
Worst 30 Trading Days (ending 2020-03-23),2020-03-13,88.91716439133258
Worst 30 Trading Days (ending 2020-03-23),2020-03-16,82.10217318219432
Worst 30 Trading Days (ending 2020-03-23),2020-03-17,84.52516306733152
Worst 30 Trading Days (ending 2020-03-23),2020-03-18,80.70936819752227
Worst 30 Trading Days (ending 2020-03-23),2020-03-19,81.611666887556
Worst 30 Trading Days (ending 2020-03-23),2020-03-20,80.59276974507422
Worst 30 Trading Days (ending 2020-03-23),2020-03-23,80.13133189850727
